"Title","Desc","Type","BodyPart","Equipment","Level","Rating","RatingDesc","Title_Original","BodyPart_Original","Equipment_Original","HasRating","RatingCategory","ComplexityScore","DescLength","ShortDesc"
"Face-down incline dumbbell biceps curl","The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.","Strength","Arms","Dumbbell","Beginner",7.6,"Average","Face-down incline dumbbell biceps curl","Biceps","Dumbbell",TRUE,"Dobre (7.0-7.9)",2,389,"The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline ben..."
"Seated hammer curl","The seated hammer curl is a popular exercise for building bigger biceps and forearms. The movement resembles hammering a nail—hence the name. While curls can effectively be performed standing as well, performing them seated can enforce strict form and perhaps boost the mind-muscle connection. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.","Strength","Arms","Dumbbell","Intermediate",NA,"","Seated hammer curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,410,"The seated hammer curl is a popular exercise for building bigger biceps and forearms. The movement resembles hammering a..."
"Paul Carter Incline Dumbbell Biceps Curl","The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.","Strength","Arms","Dumbbell","Intermediate",NA,"","Paul Carter Incline Dumbbell Biceps Curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,209,"The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of ..."
"Paul Carter Concentration Curl","The concentration curl is a classic exercise for building the biceps one arm at a time. It can be performed bent over or kneeling, but is more often performed seated on a bench. It's great for emphasizing the biceps peak and is often used to finish a biceps workout. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.","Strength","Arms","Dumbbell","Intermediate",NA,"","Paul Carter Concentration Curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,383,"The concentration curl is a classic exercise for building the biceps one arm at a time. It can be performed bent over or..."
"Dumbbell Curl","The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.","Strength","Arms","Dumbbell","Intermediate",NA,"","FYR Dumbbell Curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,315,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of ..."
"Dumbbell biceps curl to upright row","The dumbbell biceps curl to upright row is a dumbbell complex that combines two exercises that build and strengthen the biceps, traps, and the middle head of the deltoids. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you structure the sets and reps, it is a time-efficient way to hit multiple upper-body muscles in any workout.","Strength","Arms","Dumbbell","Intermediate",NA,"","Dumbbell biceps curl to upright row","Biceps","Dumbbell",FALSE,"Nie oceniono",3,495,"The dumbbell biceps curl to upright row is a dumbbell complex that combines two exercises that build and strengthen the ..."
"Dumbbell Hammer Curl","This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.","Strength","Arms","Dumbbell","Intermediate",NA,"","FYR Dumbbell Hammer Curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,165,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remai..."
"Dumbbell overhead hold with single-arm curl","The dumbbell overhead hold with single-arm curl combines an isometric overhead hold with a curl for the other arm. The two movements collectively target the muscles of the shoulders and arms, while providing a surprising core challenge. Expect to be challenged, even with light weight.","Strength","Arms","Dumbbell","Intermediate",NA,"","Dumbbell overhead hold with single-arm curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,285,"The dumbbell overhead hold with single-arm curl combines an isometric overhead hold with a curl for the other arm. The t..."
"Kneeling Biceps","The kneeling concentration curl allows you to target the biceps without having the ability to use momentum from the rest of your body to move the weight.","Strength","Arms","Dumbbell","Intermediate",NA,"","FYR Kneeling Biceps","Biceps","Dumbbell",FALSE,"Nie oceniono",3,153,"The kneeling concentration curl allows you to target the biceps without having the ability to use momentum from the rest..."
"Lunge hold dumbbell curl","The lunge hold dumbbell curl is a challenging complex that combines an isometric hold at the bottom of a lunge with a dumbbell biceps curl. The two exercises combine to target the legs, core, and biceps. The curl will determine the amount of weight you can use, but even a light weight will make the lunge hold seriously challenging.","Strength","Arms","Dumbbell","Intermediate",NA,"","Lunge hold dumbbell curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,333,"The lunge hold dumbbell curl is a challenging complex that combines an isometric hold at the bottom of a lunge with a du..."
"Dumbbell Biceps Curl","The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.","Strength","Arms","Dumbbell","Intermediate",NA,"","FYR Dumbbell Biceps Curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,315,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of ..."
"Alternating dumbbell snatch","The alternating dumbbell snatch is an explosive exercise that builds full-body power and targets the muscles of the hips, back, and shoulders. Performing it by alternating arms gives each arm the chance to recover, allowing you to do a greater amount of quality work. It can be performed for low reps with a focus on power and speed, or for higher reps to build muscle or as part of a metabolic conditioning circuit.","Strength","Arms","Dumbbell","Intermediate",NA,"","Alternating dumbbell snatch","Biceps","Dumbbell",FALSE,"Nie oceniono",3,416,"The alternating dumbbell snatch is an explosive exercise that builds full-body power and targets the muscles of the hips..."
"TBS Incline Dumbbell Curl","The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.","Strength","Arms","Dumbbell","Intermediate",NA,"","TBS Incline Dumbbell Curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,209,"The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of ..."
"TBS Hammer Curl","The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.","Strength","Arms","Dumbbell","Intermediate",NA,"","TBS Hammer Curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,168,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists re..."
"Reverse-grip dumbbell curl","With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength. The move can be performed standing or seated. Because grip is a limiting factor, it is usually performed for moderate to high reps, such as 8-10 reps per set.","Strength","Arms","Dumbbell","Intermediate",NA,"","Reverse-grip dumbbell curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,336,"With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets ..."
"Incline Dumbbell Curl - Gethin Variation","The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.","Strength","Arms","Dumbbell","Intermediate",NA,"","Incline Dumbbell Curl - Gethin Variation","Biceps","Dumbbell",FALSE,"Nie oceniono",3,209,"The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of ..."
"Hammer curl","The hammer curl is a dumbbell movement that focuses on the biceps, brachialis, and forearm muscles. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.","Strength","Arms","Dumbbell","Intermediate",NA,"","Hammer curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,311,"The hammer curl is a dumbbell movement that focuses on the biceps, brachialis, and forearm muscles. Throughout each rep,..."
"Seated Dumbbell Curl - Gethin Variation","The seated dumbbell biceps curl is a standard exercise for building bigger biceps. While dumbbell biceps curls can be performed standing, this version involves sitting on a bench.","Strength","Arms","Dumbbell","Intermediate",NA,"","Seated Dumbbell Curl - Gethin Variation","Biceps","Dumbbell",FALSE,"Nie oceniono",3,179,"The seated dumbbell biceps curl is a standard exercise for building bigger biceps. While dumbbell biceps curls can be pe..."
"Dumbbell Hammer Curl - Gethin Variation","This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.","Strength","Arms","Dumbbell","Intermediate",NA,"","Dumbbell Hammer Curl - Gethin Variation","Biceps","Dumbbell",FALSE,"Nie oceniono",3,165,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remai..."
"Single-arm seated dumbbell curl","The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time may allow you to use slightly heavier weight, while focusing on really feeling the mind-muscle connection in the working arm. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.","Strength","Arms","Dumbbell","Intermediate",NA,"","Single-arm seated dumbbell curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,360,"The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time ma..."
"Lying Cable Curl - Gethin Variation","The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.","Strength","Arms","Dumbbell","Intermediate",NA,"","Lying Cable Curl - Gethin Variation","Biceps","Dumbbell",FALSE,"Nie oceniono",3,143,"The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower bo..."
"Dumbbell biceps curl","The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.","Strength","Arms","Dumbbell","Intermediate",NA,"","Dumbbell biceps curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,315,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of ..."
"AM Hammer Curls","This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.","Strength","Arms","Dumbbell","Intermediate",NA,"","AM Hammer Curls","Biceps","Dumbbell",FALSE,"Nie oceniono",3,165,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remai..."
"AM Seated Hammer Curls","The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.","Strength","Arms","Dumbbell","Intermediate",NA,"","AM Seated Hammer Curls","Biceps","Dumbbell",FALSE,"Nie oceniono",3,210,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence t..."
"Seated alternating biceps curl","The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.","Strength","Arms","Dumbbell","Intermediate",NA,"","Seated alternating biceps curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,314,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allo..."
"Alternating hammer curl","The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.","Strength","Arms","Dumbbell","Intermediate",NA,"","Alternating hammer curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,297,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists re..."
"Alternating biceps curl","The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.","Strength","Arms","Dumbbell","Intermediate",NA,"","Alternating biceps curl","Biceps","Dumbbell",FALSE,"Nie oceniono",3,336,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popula..."
"Plate hammer curl","The plate hammer curl is an exercise that targets the long head of the biceps as well as the brachialis and brachioradialis muscles. Typically hammer curls are done with dumbbells, but in this case, holding a weight plate places the hands in the same neutral position.","Strength","Arms","Other","Beginner",NA,"Average","Plate hammer curl","Biceps","Other",FALSE,"Nie oceniono",2,268,"The plate hammer curl is an exercise that targets the long head of the biceps as well as the brachialis and brachioradia..."
"spider curl","The barbell spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The vertical bench angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.","Strength","Arms","Other","Intermediate",NA,"","Barbell spider curl","Biceps","Other",FALSE,"Nie oceniono",3,401,"The barbell spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the..."
"forehead curl","The barbell forehead curl is a classic movement from the Golden Age of bodybuilding and is often associated with Dave ""The Blond Bomber"" Draper. The barbell is brought up to your forehead instead of to your chest, emphasizing the squeeze and peak contraction. It is usually performed for moderate to high reps, such as 8-12 reps per set.","Strength","Arms","Other","Intermediate",NA,"","Barbell forehead curl","Biceps","Other",FALSE,"Nie oceniono",3,337,"The barbell forehead curl is a classic movement from the Golden Age of bodybuilding and is often associated with Dave ""T..."
"Overhead cable curl","Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, using a pair of D-handles. The arms and elbows are held at shoulder height throughout the movement, and both hands curl in toward the ears. This position is designed to eliminate shoulder involvement and momentum, while targeting the biceps peak. This movement is generally done for moderate to high reps, such as 8-12 reps per set or more, as part of arm-focused training.","Strength","Arms","Cable","Intermediate",9,"Average","Overhead cable curl","Biceps","Cable",TRUE,"Doskonałe (9.0+)",2.5,493,"Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, ..."
"Standing One-Arm Cable Curl","The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating.","Strength","Arms","Cable","Beginner",8.8,"Average","Standing One-Arm Cable Curl","Biceps","Cable",TRUE,"Bardzo dobre (8.0-8.9)",1.5,211,"The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to ..."
"Standing Biceps Cable Curl","The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.","Strength","Arms","Cable","Intermediate",8.5,"Average","Standing Biceps Cable Curl","Biceps","Cable",TRUE,"Bardzo dobre (8.0-8.9)",2.5,303,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the ba..."
"rope hammer curl","The cable rope hammer curl is a popular arm-focused exercise performed with a rope handle attached by a cable to a weight stack. It uses a neutral (palms facing one another) grip, which targets the forearms and brachialis muscles in addition to the biceps. Because grip is a limitation, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.","Strength","Arms","Cable","Intermediate",8.2,"Average","Cable rope hammer curl","Biceps","Cable",TRUE,"Bardzo dobre (8.0-8.9)",2.5,372,"The cable rope hammer curl is a popular arm-focused exercise performed with a rope handle attached by a cable to a weigh..."
"Lying cable biceps curl","The lying cable biceps curl is a cable exercise that targets the biceps. It is performed lying on the back, either on a bench or the ground, with the feet facing toward a cable stack. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.","Strength","Arms","Cable","Beginner",8.2,"Average","Lying cable biceps curl","Biceps","Cable",TRUE,"Bardzo dobre (8.0-8.9)",1.5,299,"The lying cable biceps curl is a cable exercise that targets the biceps. It is performed lying on the back, either on a ..."
"rope preacher hammer curl","The cable rope preacher hammer curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack, a preacher bench, and a rope grip. The neutral or ""hammer"" grip amplifies activation of both the grip and the brachialis muscles, building arm thickness. The angle of the bench also effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set.","Strength","Arms","Cable","Beginner",7.5,"Average","Cable rope preacher hammer curl","Biceps","Cable",TRUE,"Dobre (7.0-7.9)",1.5,462,"The cable rope preacher hammer curl is a single-joint arm exercise that builds strength and size in the biceps using a c..."
"Lying Close-Grip Bar Curl On High Pulley","The lying high-cable biceps curl is an unusual move for building the biceps—but it’s a highly effective one. Lying prone and curling down toward you provides a different stimulus than more standard approaches allow.","Strength","Arms","Cable","Beginner",7.1,"Average","Lying Close-Grip Bar Curl On High Pulley","Biceps","Cable",TRUE,"Dobre (7.0-7.9)",1.5,215,"The lying high-cable biceps curl is an unusual move for building the biceps—but it’s a highly effective one. Lying prone..."
"EZ-Bar Preacher Curl - Gethin Variation","The cable preacher curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack and a preacher bench. It is popular in muscle-building arm workouts because the angle of the bench effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set.","Strength","Arms","Cable","Intermediate",NA,"","Cable EZ-Bar Preacher Curl - Gethin Variation","Biceps","Cable",FALSE,"Nie oceniono",2.5,366,"The cable preacher curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack a..."
"Squatting cable EZ-bar biceps curl","The squatting cable EZ-bar biceps curl is an exercise that builds and strengthens the biceps while the lower body is in a static squat position. It is usually performed for higher rep sets, such as 8-12 reps per set or more, in combination with other curls or arm training. It is most similar in arm positioning to a preacher curl, but has some unique benefits to the lower body, as well.","Strength","Arms","Cable","Intermediate",NA,"","Squatting cable EZ-bar biceps curl","Biceps","Cable",FALSE,"Nie oceniono",2.5,388,"The squatting cable EZ-bar biceps curl is an exercise that builds and strengthens the biceps while the lower body is in ..."
"straight-bar biceps curl","The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.","Strength","Arms","Cable","Intermediate",NA,"","Cable straight-bar biceps curl","Biceps","Cable",FALSE,"Nie oceniono",2.5,303,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the ba..."
"Standing reverse-grip cable curl","The standing reverse-grip cable curl takes a classic bodybuilding exercise, the reverse barbell curl, and tweaks it by using a handle attached to a cable stack instead. It targets the forearm muscles and brachialis to a greater degree than underhand biceps curl variations. Because grip is a limitation, this move is commonly performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.","Strength","Arms","Cable","Intermediate",NA,"","Standing reverse-grip cable curl","Biceps","Cable",FALSE,"Nie oceniono",2.5,446,"The standing reverse-grip cable curl takes a classic bodybuilding exercise, the reverse barbell curl, and tweaks it by u..."
"Lying high-cable biceps curl","The lying high-cable biceps curl is a single-joint exercise targeting the biceps in a prone (face-up) position. It is usually performed for moderate to high reps as part of the arm-focused portion of a workout.","Strength","Arms","Cable","Intermediate",NA,"","Lying high-cable biceps curl","Biceps","Cable",FALSE,"Nie oceniono",2.5,210,"The lying high-cable biceps curl is a single-joint exercise targeting the biceps in a prone (face-up) position. It is us..."
"High-Pulley Cable Curl - Gethin Variation","Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, using a pair of D-handles. The arms and elbows are held at shoulder height throughout the movement, and both hands curl in toward the ears. This position is designed to eliminate shoulder involvement and momentum, while targeting the biceps peak. This movement is generally done for moderate to high reps, such as 8-12 reps per set or more, as part of arm-focused training.","Strength","Arms","Cable","Intermediate",NA,"","High-Pulley Cable Curl - Gethin Variation","Biceps","Cable",FALSE,"Nie oceniono",2.5,493,"Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, ..."
"Standing High Cable Curl - Gethin Variation","The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.","Strength","Arms","Cable","Intermediate",NA,"","Standing High Cable Curl - Gethin Variation","Biceps","Cable",FALSE,"Nie oceniono",2.5,303,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the ba..."
"High Cable Curls","The lying high-cable biceps curl is a single-joint exercise targeting the biceps in a prone (face-up) position. It is usually performed for moderate to high reps as part of the arm-focused portion of a workout.","Strength","Arms","Cable","Intermediate",NA,"","High Cable Curls","Biceps","Cable",FALSE,"Nie oceniono",2.5,210,"The lying high-cable biceps curl is a single-joint exercise targeting the biceps in a prone (face-up) position. It is us..."
"Seated cable biceps curl","The seated cable biceps curl is a single-joint arm exercise intended to isolate the biceps. The seated position helps eliminate the use of momentum. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.","Strength","Arms","Cable","Intermediate",NA,"","Seated cable biceps curl","Biceps","Cable",FALSE,"Nie oceniono",2.5,264,"The seated cable biceps curl is a single-joint arm exercise intended to isolate the biceps. The seated position helps el..."
"Lying Close-Grip Bar Curl On High Pulley - Gethin Variation","The lying high-cable biceps curl is an unusual move for building the biceps—but it’s a highly effective one. Lying prone and curling down toward you provides a different stimulus than more standard approaches allow.","Strength","Arms","Cable","Intermediate",NA,"","Lying Close-Grip Bar Curl On High Pulley - Gethin Variation","Biceps","Cable",FALSE,"Nie oceniono",2.5,215,"The lying high-cable biceps curl is an unusual move for building the biceps—but it’s a highly effective one. Lying prone..."
"Standing Cable Curl - Gethin Variation","The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.","Strength","Arms","Cable","Intermediate",NA,"","Standing Cable Curl - Gethin Variation","Biceps","Cable",FALSE,"Nie oceniono",2.5,303,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the ba..."
"AM Cable Biceps Curl","The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.","Strength","Arms","Cable","Intermediate",NA,"","AM Cable Biceps Curl","Biceps","Cable",FALSE,"Nie oceniono",2.5,303,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the ba..."
"Single-arm cable biceps curl","The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an arm-focused workout.","Strength","Arms","Cable","Intermediate",NA,"","Single-arm cable biceps curl","Biceps","Cable",FALSE,"Nie oceniono",2.5,332,"The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to ..."
"cable rope hammer curl","The blood flow restriction (BFR) cable rope hammer curl is an arm movement that builds biceps size and strength using a cable stack, rope grip, and blood flow restriction bands. It is popular in high-rep ""pump""-style arm workouts. The bands should be placed as high as possible on your arms, at a tightness of no greater than 8 on a scale of 10. Most BFR workouts recommend using a far lighter weight than usual, perhaps as low as 25-50 percent of a normal working weight.","Strength","Arms","Cable","Intermediate",NA,"","BFR cable rope hammer curl","Biceps","Cable",FALSE,"Nie oceniono",2.5,472,"The blood flow restriction (BFR) cable rope hammer curl is an arm movement that builds biceps size and strength using a ..."
"Preacher Curls","The machine preacher curl is an isolation exercise targeting the biceps.","Strength","Arms","Machine","Beginner",8.3,"Average","Machine Preacher Curls","Biceps","Machine",TRUE,"Bardzo dobre (8.0-8.9)",1.5,72,"The machine preacher curl is an isolation exercise targeting the biceps."
"Single-arm machine preacher curl","The single-arm machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the motion of a free-weight preacher curl, but uses a selectorized weight stack or plate-loaded machine. Many such machines offer different grips and grip widths. Machine biceps curls are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or arm-focused portion of a workout.","Strength","Arms","Machine","Intermediate",NA,"","Single-arm machine preacher curl","Biceps","Machine",FALSE,"Nie oceniono",2.5,440,"The single-arm machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the..."
"preacher curl","The machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the motion of a free-weight preacher curl, but uses a selectorized weight stack or plate-loaded machine. Many such machines offer different grips and grip widths. Machine biceps curls are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or arm-focused portion of a workout.","Strength","Arms","Machine","Intermediate",NA,"","Machine preacher curl","Biceps","Machine",FALSE,"Nie oceniono",2.5,429,"The machine preacher curl is a popular exercise to build size and strength in the biceps. It approximates the motion of ..."
"Smith machine drag curl","The Smith machine drag curl is a biceps-focused exercise using the bar in a Smith machine. It is usually trained in moderate to high reps, at least 8-15 reps per set, and can work in the biceps-focused portion of any workout.","Strength","Arms","Machine","Intermediate",NA,"","Smith machine drag curl","Biceps","Machine",FALSE,"Nie oceniono",2.5,225,"The Smith machine drag curl is a biceps-focused exercise using the bar in a Smith machine. It is usually trained in mode..."
"TBS Chin-Up","The a chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the body, in an underhand position, with a grip that is narrower than shoulder-width. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, but it utilizes the biceps slightly more than overhand pull-ups. It can be used as a more shoulder-friendly alternative to straight-bar pull-ups, or to help perform more reps than you can perform overhand.","Strength","Arms","Bodyweight","Intermediate",NA,"","TBS Chin-Up","Biceps","Body Only",FALSE,"Nie oceniono",2,503,"The a chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the bo..."
"Pull-up - Gethin Variation","The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight.","Strength","Arms","Bodyweight","Intermediate",NA,"","Pull-up - Gethin Variation","Biceps","Body Only",FALSE,"Nie oceniono",2,289,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It..."
"EZ-Bar Curl","The standing EZ-bar curl is an immensely popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.","Strength","Arms","Other","Intermediate",9.1,"Average","EZ-Bar Curl","Biceps","E-Z Curl Bar",TRUE,"Doskonałe (9.0+)",3,260,"The standing EZ-bar curl is an immensely popular exercise targeting the biceps. It is commonly performed for moderate to..."
"Reverse Barbell Preacher Curls","The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar.","Strength","Arms","Other","Beginner",8.8,"Average","Reverse Barbell Preacher Curls","Biceps","E-Z Curl Bar",TRUE,"Bardzo dobre (8.0-8.9)",2,298,"The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underh..."
"Standing EZ-Bar Curl - Gethin Variation","The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.","Strength","Arms","Other","Intermediate",NA,"","Standing EZ-Bar Curl - Gethin Variation","Biceps","E-Z Curl Bar",FALSE,"Nie oceniono",3,261,"The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate t..."
